City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Hermanus,-34.4187,19.2345,55.8,88,77,10.09,broken clouds,2021-08-02 03:34:34
1,Albany,42.6001,-73.9662,64.35,94,100,1.03,overcast clouds,2021-08-02 03:34:32
2,Vaini,-21.2,-175.2,75.36,73,20,17.27,few clouds,2021-08-02 03:36:06
3,Aykhal,66.0,111.5,78.1,30,46,13.67,scattered clouds,2021-08-02 03:37:34
4,Emba,48.8264,58.1442,89.49,28,4,7.63,clear sky,2021-08-02 03:37:34
5,Saint George,37.1041,-113.5841,92.62,27,1,1.01,clear sky,2021-08-02 03:37:17
6,Mataura,-46.1927,168.8643,44.47,91,100,6.73,light rain,2021-08-02 03:37:34
7,Pervomayskoye,43.919,46.7102,83.23,47,88,10.71,overcast clouds,2021-08-02 03:37:35
8,Ormara,25.2088,64.6357,82.22,84,96,15.17,overcast clouds,2021-08-02 03:37:35
9,Pekalongan,-6.8886,109.6753,87.01,61,14,3.87,few clouds,2021-08-02 03:37:35
10,New Norfolk,-42.7826,147.0587,56.7,48,76,5.68,broken clouds,2021-08-02 03:37:36
11,Cape Town,-33.9258,18.4232,57.11,88,0,1.99,clear sky,2021-08-02 03:37:26
12,Necochea,-38.5473,-58.7368,40.66,67,0,9.46,clear sky,2021-08-02 03:37:36
13,Cidreira,-30.1811,-50.2056,53.33,94,3,4.97,clear sky,2021-08-02 03:37:37
14,Castro,-24.7911,-50.0119,44.56,97,13,3.22,few clouds,2021-08-02 03:37:37
15,Kodiak,57.79,-152.4072,56.71,88,90,5.75,overcast clouds,2021-08-02 03:33:15
16,Nouakchott,18.0858,-15.9785,76.93,85,80,13.02,broken clouds,2021-08-02 03:37:37
17,Atuona,-9.8,-139.0333,77.43,68,18,11.48,few clouds,2021-08-02 03:37:38
18,Port-Cartier,50.0334,-66.8654,57.74,84,63,5.26,broken clouds,2021-08-02 03:37:38
19,Carutapera,-1.195,-46.02,72.1,89,60,2.3,broken clouds,2021-08-02 03:37:38
20,Nelson Bay,-32.7167,152.15,68.09,60,74,11.79,broken clouds,2021-08-02 03:37:39
21,Punta Arenas,-53.15,-70.9167,41.11,75,40,26.46,scattered clouds,2021-08-02 03:37:39
22,Rikitea,-23.1203,-134.9692,69.35,56,2,20.96,clear sky,2021-08-02 03:35:09
23,Jiuquan,39.7432,98.5174,69.85,39,100,4.52,overcast clouds,2021-08-02 03:37:40
24,Narsaq,60.9167,-46.05,55.62,98,100,2.73,moderate rain,2021-08-02 03:36:56
25,Mahebourg,-20.4081,57.7,68.29,83,75,10.36,broken clouds,2021-08-02 03:36:54
26,Joshimath,30.5667,79.5667,80.19,64,82,3.78,broken clouds,2021-08-02 03:37:40
27,Samarinda,-0.5,117.15,89.17,55,76,5.61,broken clouds,2021-08-02 03:37:41
28,Pasighat,28.0667,95.3333,89.33,65,2,4.07,clear sky,2021-08-02 03:37:41
29,Polovinnoye,54.7914,65.9864,72.95,51,13,11.95,few clouds,2021-08-02 03:37:41
30,Hobart,-42.8794,147.3294,57.06,57,75,4.0,broken clouds,2021-08-02 03:33:24
31,Qaanaaq,77.484,-69.3632,40.39,87,75,3.2,broken clouds,2021-08-02 03:37:42
32,Mega,4.05,38.3,54.86,75,96,15.23,overcast clouds,2021-08-02 03:37:42
33,Dabakala,8.3667,-4.4333,69.06,99,26,3.78,scattered clouds,2021-08-02 03:37:43
34,Taltal,-25.4,-70.4833,56.84,77,39,2.26,scattered clouds,2021-08-02 03:37:43
35,Ushuaia,-54.8,-68.3,40.66,75,40,4.61,scattered clouds,2021-08-02 03:36:07
36,Umm Lajj,25.0213,37.2685,88.43,43,18,3.0,few clouds,2021-08-02 03:37:43
37,Thompson,55.7435,-97.8558,75.36,46,75,10.36,smoke,2021-08-02 03:37:44
38,Guerrero Negro,27.9769,-114.0611,74.25,74,0,12.3,clear sky,2021-08-02 03:37:44
39,Melita,49.2681,-100.9967,65.95,35,100,6.2,overcast clouds,2021-08-02 03:37:44
40,Bredasdorp,-34.5322,20.0403,55.27,94,100,2.3,overcast clouds,2021-08-02 03:37:45
41,Provideniya,64.3833,-173.3,42.91,81,90,17.9,moderate rain,2021-08-02 03:37:45
42,Vardo,70.3705,31.1107,48.4,93,100,17.36,overcast clouds,2021-08-02 03:37:45
43,Agadez,19.75,10.25,86.85,13,2,9.08,clear sky,2021-08-02 03:37:46
44,Dingle,10.9995,122.6711,89.44,62,98,16.67,overcast clouds,2021-08-02 03:36:56
45,Broome,42.2506,-75.833,61.02,98,90,1.01,mist,2021-08-02 03:37:46
46,Port Hardy,50.6996,-127.4199,60.98,82,75,10.36,broken clouds,2021-08-02 03:37:47
47,Dunedin,-45.8742,170.5036,50.81,75,100,13.0,overcast clouds,2021-08-02 03:37:47
48,Taoudenni,22.6783,-3.9836,97.34,28,83,14.16,broken clouds,2021-08-02 03:37:47
49,Luganville,-15.5333,167.1667,74.34,64,49,10.56,scattered clouds,2021-08-02 03:37:48
50,Nagar Karnul,16.4821,78.3247,78.42,67,100,20.07,overcast clouds,2021-08-02 03:37:48
51,Vila,42.0304,-8.1588,55.33,94,84,3.15,broken clouds,2021-08-02 03:37:49
52,Berlevag,70.8578,29.0864,44.6,94,100,14.27,light rain,2021-08-02 03:37:49
53,Iqaluit,63.7506,-68.5145,49.73,93,90,1.99,light rain,2021-08-02 03:37:49
54,Pendleton,45.6721,-118.7886,85.24,49,88,1.99,overcast clouds,2021-08-02 03:37:09
55,Cabo San Lucas,22.8909,-109.9124,87.51,74,17,5.99,few clouds,2021-08-02 03:33:55
56,Greenville,35.6127,-77.3663,75.11,97,90,0.0,overcast clouds,2021-08-02 03:37:50
