City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Aykhal,78.1,scattered clouds,66.0,111.5,
4,Emba,89.49,clear sky,48.8264,58.1442,
7,Pervomayskoye,83.23,overcast clouds,43.919,46.7102,
8,Ormara,82.22,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
9,Pekalongan,87.01,few clouds,-6.8886,109.6753,Namira Syariah Hotel
16,Nouakchott,76.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
17,Atuona,77.43,few clouds,-9.8,-139.0333,Villa Enata
19,Carutapera,72.1,broken clouds,-1.195,-46.02,Lidera
20,Nelson Bay,68.09,broken clouds,-32.7167,152.15,Mantra Nelson Bay
22,Rikitea,69.35,clear sky,-23.1203,-134.9692,People ThankYou
23,Jiuquan,69.85,overcast clouds,39.7432,98.5174,Jiuquan Hotel
25,Mahebourg,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Joshimath,80.19,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
27,Samarinda,89.17,broken clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
28,Pasighat,89.33,clear sky,28.0667,95.3333,Siang Guest House
29,Polovinnoye,72.95,few clouds,54.7914,65.9864,
33,Dabakala,69.06,scattered clouds,8.3667,-4.4333,Hôtel Campement
36,Umm Lajj,88.43,few clouds,25.0213,37.2685,Moon light Furnished Units
37,Thompson,75.36,smoke,55.7435,-97.8558,Burntwood Hotel
38,Guerrero Negro,74.25,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
39,Melita,65.95,overcast clouds,49.2681,-100.9967,Western Star Hotel
43,Agadez,86.85,clear sky,19.75,10.25,
44,Dingle,89.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
49,Luganville,74.34,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
50,Nagar Karnul,78.42,overcast clouds,16.4821,78.3247,Sanjeevani Hills
54,Pendleton,85.24,overcast clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
55,Cabo San Lucas,87.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,Greenville,75.11,overcast clouds,35.6127,-77.3663,the 5th Street Inn
58,Puerto Ayora,70.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Aguilas,75.33,overcast clouds,37.4063,-1.5829,Hotel Carlos III
62,Marmarion,88.52,clear sky,38.0484,24.3204,GIKAS APARTMENTS - ΓΚΙΚΑΣ Επιπλωμένα Διαμερίσματα
63,Hovd,66.09,clear sky,48.0056,91.6419,Hotel Khovd
65,Bethel,68.68,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
66,Ixtapa,77.31,broken clouds,20.7,-105.2,Hotel Plaza Providencia
68,Mogadishu,75.81,light rain,2.0371,45.3438,Hotel Juba
69,Georgetown,88.9,few clouds,5.4112,100.3354,Cititel Penang
70,Kloulklubed,79.3,moderate rain,7.0419,134.2556,Storyboard Beach Resort
71,Nan,84.22,few clouds,18.8333,100.6667,สะเนียน2
72,Butaritari,83.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
75,Russell,79.88,clear sky,32.3502,-85.1999,Macs
76,Poum,70.03,clear sky,-20.2333,164.0167,Gîte kajeon
77,Kieta,82.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
78,Saint-Pierre,65.88,broken clouds,-21.3393,55.4781,Lindsey Hôtel
79,Honiara,80.73,broken clouds,-9.4333,159.95,Heritage Park Hotel
81,Yangambi,72.45,overcast clouds,0.8102,24.4336,
83,Sao Filipe,75.25,few clouds,14.8961,-24.4956,Hotel Xaguate
84,Coahuayana,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
85,Hilo,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
90,Meulaboh,83.55,overcast clouds,4.1363,96.1285,Kost Pria
91,Viransehir,89.42,overcast clouds,37.2353,39.7631,Viranşehir Öğretmenevi
92,Batagay-Alyta,73.27,clear sky,67.8006,130.4114,
93,Saint-Philippe,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Shahr-E Babak,80.1,scattered clouds,30.1165,55.1186,Duna Ecolodge
97,Seoul,84.61,light rain,37.5683,126.9778,롯데호텔 서울
102,Kaduna,67.93,light rain,10.5222,7.4383,HAMDALA HOTEL
103,Yellowknife,78.3,few clouds,62.456,-114.3525,The Explorer Hotel
106,Tual,81.52,few clouds,-5.6667,132.75,Grand Vilia Hotel
107,Lotoshino,65.62,overcast clouds,56.2267,35.6414,Hotel Komfort
108,Fort Nelson,89.19,smoke,58.8053,-122.7002,The Fort Nelson Hotel
109,Khatanga,71.94,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
110,Avarua,77.05,light rain,-21.2078,-159.775,Paradise Inn
111,Shache,70.75,overcast clouds,38.4167,77.2406,Delong Hotel
113,Kapaa,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
114,Madang,85.37,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
116,Fukagawa,89.65,overcast clouds,43.7081,142.0392,Irumu Inn
117,Dakar,82.53,broken clouds,14.6937,-17.4441,Redface Studios Meublés
119,Tarauaca,66.81,clear sky,-8.1614,-70.7656,Flat Temporada
120,Awjilah,81.45,clear sky,29.1081,21.2869,
122,Fare,77.27,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
124,Los Llanos De Aridane,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
126,Harper,76.24,overcast clouds,4.375,-7.7169,Screensaver
127,Henties Bay,69.85,clear sky,-22.116,14.2845,Fishermans Guest House
128,Hithadhoo,81.59,broken clouds,-0.6,73.0833,Scoop Guest House
129,Praia Da Vitoria,74.75,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
130,Baduria,89.53,overcast clouds,22.7417,88.7858,Birla Baduria godown
131,Arraial Do Cabo,65.64,few clouds,-22.9661,-42.0278,Pousada Porto Praia
132,Mayo,72.21,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
134,Tubuala,80.71,overcast clouds,9.5167,-79.0333,Río Nabagana
136,Xinye,88.93,light rain,32.5186,112.3522,Lijing International Hotel
138,Jalu,82.02,clear sky,29.0331,21.5482,صاحبة الفخامة
139,Kiknur,69.21,broken clouds,57.3034,47.2011,Gostinitsa
140,Romny,71.98,scattered clouds,50.751,33.4747,Floriana
142,Aswan,85.3,clear sky,24.0934,32.907,Nuba Nile
145,Sawakin,89.56,scattered clouds,19.1059,37.3321,فندق الدويم
147,Lagoa,71.94,overcast clouds,39.05,-27.9833,Casa Das Faias
148,Zykovo,70.54,few clouds,55.9519,93.1461,
149,Lisakovsk,78.85,few clouds,52.5369,62.4936,Gostinitsa Lisakovsk
150,Flin Flon,70.48,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
153,Litovko,79.21,overcast clouds,49.2361,135.1742,
158,Neiafu,74.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
161,Vao,67.35,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
164,Ribeira Grande,72.72,few clouds,38.5167,-28.7,Quinta da Meia Eira
166,Padang,84.25,light rain,-0.9492,100.3543,Mercure Padang
167,Souillac,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Kathmandu,79.02,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
170,Ponta Delgada,70.52,light intensity drizzle,37.7333,-25.6667,Vila Nova Hotel
171,Hamilton,66.61,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
172,Saskylakh,81.12,clear sky,71.9167,114.0833,
173,Lompoc,69.39,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
174,Ponta Do Sol,72.23,clear sky,32.6667,-17.1,Hotel do Campo
177,Kalmunai,85.6,overcast clouds,7.4167,81.8167,VS Villa
178,Kyshtovka,67.05,light rain,56.555,76.6271,Uyutnaya Mini-Hotel
181,Cuiluan,69.87,light rain,47.72,128.648,Shuncheng Hotel
182,Puerto Carreno,73.8,broken clouds,6.189,-67.4859,Casa Hotel Victoria
184,Aksu,86.47,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
189,Katsuura,89.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
191,Airai,77.59,few clouds,-8.9266,125.4092,Juvinal Martin
194,Fairbanks,77.34,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
195,Gibsons,76.95,clear sky,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
196,Pombas,74.98,broken clouds,17.1503,-25.0201,Paul Paradis
197,Sultanpur,83.64,broken clouds,26.2667,82.0667,OYO 49568 Vrindavan Guest House
199,Sterling,71.74,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
201,San Quintin,69.82,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
202,Sao Felix Do Xingu,73.36,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
205,Mareeba,81.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
206,Almirante,82.89,overcast clouds,9.3,-82.4,Hotel 888
208,Pengcheng,84.7,light rain,36.4311,114.17,Fengfeng Dianchang Hotel
209,Sola,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
210,Hambantota,84.54,few clouds,6.1241,81.1185,Bungalow 63
212,Garautha,77.77,light rain,25.5667,79.3,P.S.K Automobiles garautha
213,Ayorou,82.06,broken clouds,14.7308,0.9174,Hotel Amenokal
218,Bengkulu,79.18,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
222,Igarka,67.08,scattered clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
227,Dickinson,86.22,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
231,Xining,78.94,broken clouds,36.6167,101.7667,Super Leisure Hotel
232,Bahia Honda,79.95,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
234,Amga,80.22,overcast clouds,60.8953,131.9608,Algys
235,Kavaratti,82.4,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
237,Faanui,77.9,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
241,Ketchikan,66.67,clear sky,55.3422,-131.6461,Snows Cove Lodge
242,Muroto,86.04,overcast clouds,33.2833,134.15,Oota Ryokan
243,Riyadh,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
246,La Ronge,73.65,smoke,55.1001,-105.2842,Northland Motor Hotel
247,Kahului,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
250,Adrar,88.63,scattered clouds,20.5022,-10.0711,
252,Seminole,81.55,broken clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
253,Envira,67.08,clear sky,-7.3,-70.2167,
255,Masallatah,82.24,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
257,Birjand,72.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
258,Kiunga,83.93,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
259,San Ramon,69.49,clear sky,37.7799,-121.978,San Ramon Marriott
260,Serebriya,70.75,broken clouds,48.4559,27.7192,Отель Grand Hotel
261,Pochutla,81.45,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
263,Sioux City,67.66,few clouds,42.5,-96.4003,Hilton Garden Inn Sioux City Riverfront
264,Petropavlovsk-Kamchatskiy,73.99,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
265,Bukachacha,71.44,few clouds,52.9833,116.9167,
266,Khandbari,80.42,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
269,Komsomolskiy,81.82,few clouds,40.4272,71.7189,Ikathouse
272,Marsh Harbour,83.88,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
274,Salalah,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
275,Kashi,69.01,light intensity shower rain,39.4547,75.9797,帕米尔青年旅舍
276,Sukhumi,74.64,clear sky,43.0033,41.0153,Ritsa Hotel
279,Jurm,75.07,clear sky,36.8648,70.8342,
280,Dolinsk,78.66,few clouds,47.35,142.8,"Gostinitsa ""Yubileynaya"""
281,Port-Gentil,76.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
282,Goderich,65.91,few clouds,43.7501,-81.7165,Harmony Inn
283,Naples,77.76,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
285,Talnakh,67.95,broken clouds,69.4865,88.3972,Talnakh Hotel
288,Hailar,74.46,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
289,Cap Malheureux,68.49,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
290,Dubrovnik,80.24,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
291,Bow Island,87.82,few clouds,49.8668,-111.3684,Pleasant View Lodge
292,Labuhan,87.49,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
295,Mao,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
296,Ahuimanu,85.71,clear sky,21.4447,-157.8378,Paradise Bay Resort
298,Ugoofaaru,83.1,overcast clouds,5.6667,73.0,Ungoofaaru Inn
299,Alice Springs,74.21,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
300,Asau,73.76,light rain,46.4333,26.4,Casa Mika Ciobanus
303,General Cepeda,73.99,clear sky,25.3833,-101.45,Hacienda Los Jose
304,Uvarovka,65.21,overcast clouds,55.5278,35.6061,
305,Lazaro Cardenas,80.49,few clouds,17.9583,-102.2,quinta antigua
306,Cockburn Town,82.02,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
307,Durusu,73.58,clear sky,41.3053,28.6767,Çınar Pansiyon
308,Kutum,69.35,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
309,Guider,72.77,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
310,Tawang,65.57,overcast clouds,27.5833,91.8667,Hotel Mount View
311,Kantabanji,84.61,broken clouds,20.4833,82.9167,Kamdhenu Borewell And Trading
312,Port Moresby,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
314,Yarada,89.92,broken clouds,17.65,83.2667,Jeevan
315,Kandrian,82.17,overcast clouds,-6.2167,149.55,Kandrian Station
316,Atar,83.48,broken clouds,20.5169,-13.0499,Oumou Elghoura
317,Pyay,77.97,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
319,Cayenne,74.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
321,Izberbash,80.1,scattered clouds,42.5696,47.8645,Ramina
323,Itoman,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
324,Bubaque,78.87,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
325,Maceio,71.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
326,Voykove,80.19,clear sky,45.3826,36.4372,Yuzhnaya
327,Kamiiso,79.18,scattered clouds,41.8167,140.65,ビジネス民宿あべ
328,Colares,69.44,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
330,Nyurba,84.34,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
331,Half Moon Bay,68.81,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
332,Abakaliki,73.83,overcast clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
333,Wanning,88.92,overcast clouds,18.8003,110.3967,Paradise Hotel
334,Panyutyne,73.78,clear sky,48.9333,36.2833,TIR стоянка
336,Olinda,73.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
338,Bathsheba,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
339,Mersing,89.51,scattered clouds,2.4312,103.8405,Timotel Hotel
341,Namibe,66.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
342,Kuryk,89.46,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
343,Avera,84.07,few clouds,33.194,-82.5271,
344,Bambous Virieux,68.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
345,Abu Samrah,78.21,clear sky,35.3029,37.1841,
347,Nabire,86.76,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
348,Waddan,78.31,clear sky,29.1614,16.139,محل الشريف محمد العايب
349,Caravelas,66.99,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
350,Kavieng,82.81,light rain,-2.5744,150.7967,Nusa Island Retreat
352,Indramayu,86.67,few clouds,-6.3264,108.32,Grand Trisula Hotel
353,Helong,72.7,overcast clouds,42.5397,128.9972,Helong Hotel
354,Batemans Bay,65.19,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
356,Shimoda,87.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
357,Kaliganj,84.56,light rain,23.4095,89.1402,Hasnat Palace
359,Paungde,79.3,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
360,Langfang,88.05,scattered clouds,39.5097,116.6947,Wanda Realm Langfang
362,Sibu,80.91,few clouds,2.3,111.8167,RH HOTEL (4 Star)
363,Aklavik,74.12,overcast clouds,68.2191,-135.0107,Aklavik Inn
364,San Miguel,83.86,scattered clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
365,Tevaitoa,77.52,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
366,El Sauzal,67.42,clear sky,31.9,-116.6833,La Rosas Hotel & Spa
369,Cabo Rojo,80.67,broken clouds,18.0866,-67.1457,Hotel Perichi's
370,Mount Isa,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
372,Gunjur,75.27,broken clouds,13.2019,-16.7339,Kuba Lodge
375,Chihuahua,74.23,broken clouds,28.5,-106.0,
377,Marzuq,79.11,scattered clouds,14.4,46.4667,
378,Taga,66.31,scattered clouds,46.95,24.05,
380,Jacareacanga,77.85,broken clouds,-6.2222,-57.7528,Casa do Ian😎
381,Hirara,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
382,Amapa,70.32,broken clouds,1.0,-52.0,
383,Sinnamary,76.87,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
384,San Patricio,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
385,Groton,69.89,light rain,41.3501,-72.0784,Red Roof Inn Mystic - New London
386,Bandiagara,79.23,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
388,Guerrero,68.23,overcast clouds,17.6667,-100.0,Villaxochilt
389,Palm Coast,79.02,broken clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
390,Benguela,68.63,clear sky,-12.5763,13.4055,Hotel Praia Morena
395,Temple,82.49,clear sky,31.0982,-97.3428,La Quinta Inn by Wyndham Temple
396,Laguna,87.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
397,Takayama,88.39,scattered clouds,36.1333,137.25,Country Hotel Takayama
398,Tautira,80.01,clear sky,-17.7333,-149.15,Pension Oaoa
400,Bud,66.29,clear sky,39.447,-86.1758,Ted McQuinn Trust
402,Shadegan,89.55,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
404,Wad Rawah,78.42,overcast clouds,15.1603,33.1397,ود الترابي
405,Ouadda,66.27,light rain,8.0777,22.4007,
406,Tura,79.97,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
409,Requena,65.98,overcast clouds,39.4883,-1.1004,Hotel Avenida
413,San Roque,72.41,broken clouds,36.2107,-5.3842,Hotel Guadacorte Park
414,Limon,78.37,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
415,Soe,83.39,scattered clouds,-9.8607,124.284,Dena Hotel
416,Cheyenne,65.91,overcast clouds,41.14,-104.8203,The Historic Plains Hotel & Restaurant
419,Biak,82.51,few clouds,-0.9131,122.8766,Penginapan Kim
421,Anloga,75.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
423,Grenville,80.65,clear sky,12.1167,-61.6167,Valley Breeze Guest House
426,Tonj,68.52,light rain,7.2737,28.6822,
429,Hecun,83.66,light rain,36.5333,114.1111,Yijia Hotel
430,Horadiz,74.17,overcast clouds,39.4488,47.3353,Horadiz Olympic Center
432,Caririacu,68.09,broken clouds,-7.0422,-39.2836,Pousada Serrana
433,Sundargarh,84.09,overcast clouds,22.1167,84.0333,Sankara City
434,Thinadhoo,80.51,moderate rain,0.5333,72.9333,
436,Port Blair,83.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
439,Lumut,86.36,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
441,Sabang,83.53,overcast clouds,5.8933,95.3214,Hotel Citra
442,Baykit,73.98,overcast clouds,61.67,96.37,
443,Kanigoro,82.99,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
447,Gravelbourg,73.67,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
448,Arrifes,68.25,light intensity drizzle,37.7667,-25.7,Hotel Ponta Delgada
449,Mlonggo,87.69,few clouds,-6.5333,110.7,Asia Metal Art
450,Lensk,73.24,overcast clouds,60.7253,114.9278,ТинОрС
451,Valpoi,81.97,broken clouds,15.5305,74.1356,Cajueiro Homestead
452,Nabha,87.03,few clouds,30.3747,76.1486,City heart hotel and restaurant
453,Banda Aceh,84.61,overcast clouds,5.5577,95.3222,Sulthan Hotel International
