City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tynda,RU,2021-08-01 21:01:25,55.1667,124.7167,51.69,99,100,2.19
1,Atuona,PF,2021-08-01 20:58:44,-9.8,-139.0333,77.14,69,32,11.86
2,Lewistown,US,2021-08-01 21:01:26,40.5992,-77.5714,82.47,47,1,5.75
3,Kieta,PG,2021-08-01 21:00:29,-6.2167,155.6333,78.85,83,10,2.64
4,Beloha,MG,2021-08-01 20:59:04,-25.1667,45.05,67.19,59,0,9.22
5,Dharchula,IN,2021-08-01 21:01:27,29.85,80.5333,72.77,89,98,1.7
6,Jamestown,US,2021-08-01 21:01:27,42.097,-79.2353,71.29,70,75,4.0
7,Punta Arenas,CL,2021-08-01 20:56:34,-53.15,-70.9167,46.51,66,40,11.5
8,San Cristobal,VE,2021-08-01 20:58:11,7.7669,-72.225,84.38,80,68,7.29
9,Mar Del Plata,AR,2021-08-01 21:00:41,-38.0023,-57.5575,47.08,30,90,1.99
10,Kaitangata,NZ,2021-08-01 21:01:28,-46.2817,169.8464,43.18,95,22,4.83
11,Busselton,AU,2021-08-01 20:58:38,-33.65,115.3333,53.04,68,90,7.27
12,Torbay,CA,2021-08-01 21:00:39,47.6666,-52.7314,69.76,67,31,16.37
13,Mareeba,AU,2021-08-01 21:01:18,-17.0,145.4333,61.52,93,38,2.73
14,Mataura,NZ,2021-08-01 21:01:29,-46.1927,168.8643,40.48,97,73,3.2
15,Hamilton,US,2021-08-01 21:01:29,39.1834,-84.5333,81.57,79,28,1.01
16,Kalmunai,LK,2021-08-01 21:01:29,7.4167,81.8167,81.0,72,100,1.86
17,Kahului,US,2021-08-01 21:01:30,20.8947,-156.47,83.97,76,18,16.04
18,Barrow,US,2021-08-01 21:01:30,71.2906,-156.7887,51.82,82,90,19.57
19,Puerto Ayora,EC,2021-08-01 21:01:31,-0.7393,-90.3518,73.54,88,48,5.99
20,Mackay,AU,2021-08-01 21:01:32,-21.15,149.2,62.04,100,2,3.44
21,Saint-Philippe,RE,2021-08-01 21:01:32,-21.3585,55.7679,67.55,75,49,10.04
22,Kruisfontein,ZA,2021-08-01 20:59:01,-34.0033,24.7314,56.88,77,84,18.86
23,Boa Vista,BR,2021-08-01 21:01:33,2.8197,-60.6733,76.98,88,75,4.61
24,Celestun,MX,2021-08-01 21:01:33,20.8667,-90.4,83.84,74,67,14.47
25,Airai,TL,2021-08-01 21:01:34,-8.9266,125.4092,56.08,86,25,2.59
26,Gazli,UZ,2021-08-01 21:01:34,40.1333,63.45,85.21,11,0,11.14
27,Rantepao,ID,2021-08-01 21:01:35,-2.9701,119.8978,66.61,98,95,0.85
28,Anadyr,RU,2021-08-01 21:01:35,64.75,177.4833,48.7,70,20,4.0
29,Rikitea,PF,2021-08-01 21:01:36,-23.1203,-134.9692,69.28,59,68,22.73
30,Avarua,CK,2021-08-01 21:01:36,-21.2078,-159.775,75.25,94,75,19.57
31,Cape Town,ZA,2021-08-01 20:58:44,-33.9258,18.4232,58.12,81,40,3.44
32,Latur,IN,2021-08-01 21:01:37,18.4,76.5833,71.58,85,96,13.85
33,Georgetown,MY,2021-08-01 21:01:37,5.4112,100.3354,76.89,90,20,3.44
34,Bengkulu,ID,2021-08-01 21:01:38,-3.8004,102.2655,74.1,90,96,4.54
35,Ushuaia,AR,2021-08-01 21:01:10,-54.8,-68.3,37.8,83,62,7.54
36,East London,ZA,2021-08-01 21:01:38,-33.0153,27.9116,62.64,60,24,20.58
37,Albany,US,2021-08-01 20:58:50,42.6001,-73.9662,75.36,74,82,6.89
38,Hobart,AU,2021-08-01 21:00:09,-42.8794,147.3294,38.12,87,20,3.0
39,Hithadhoo,MV,2021-08-01 21:01:39,-0.6,73.0833,80.78,73,87,6.46
40,Hilo,US,2021-08-01 21:01:34,19.7297,-155.09,80.26,84,76,5.99
41,Kiyasovo,RU,2021-08-01 21:01:40,56.3491,53.1244,60.82,66,100,5.3
42,Balabac,PH,2021-08-01 21:01:40,7.9868,117.0645,83.8,76,86,15.99
43,Rosarito,MX,2021-08-01 21:01:40,32.3333,-117.0333,102.42,50,1,15.1
44,Masunga,BW,2021-08-01 21:01:41,-20.6246,27.4488,53.02,50,0,8.01
45,Makubetsu,JP,2021-08-01 21:01:41,45.3714,141.8211,66.54,91,100,21.92
46,Bluff,NZ,2021-08-01 21:00:32,-46.6,168.3333,40.8,86,96,8.05
47,Roald,NO,2021-08-01 21:01:41,62.5833,6.1333,54.0,71,90,5.75
48,Faanui,PF,2021-08-01 21:01:42,-16.4833,-151.75,77.47,69,38,15.12
49,Vanavara,RU,2021-08-01 21:01:42,60.34,102.2797,53.37,63,43,4.32
50,Isangel,VU,2021-08-01 21:01:43,-19.55,169.2667,69.78,59,83,11.14
51,Phangnga,TH,2021-08-01 21:01:43,8.4509,98.5298,83.91,93,100,7.34
52,Victoria,HK,2021-08-01 20:57:05,22.2855,114.1577,85.32,89,98,1.01
53,Namibe,AO,2021-08-01 21:01:44,-15.1961,12.1522,69.15,84,58,2.24
54,Beringovskiy,RU,2021-08-01 21:01:44,63.05,179.3167,46.06,73,44,14.43
55,Katsuura,JP,2021-08-01 21:01:44,35.1333,140.3,82.11,83,2,4.0
56,Lebu,CL,2021-08-01 21:01:45,-37.6167,-73.65,52.11,73,29,18.32
57,Tasiilaq,GL,2021-08-01 20:58:34,65.6145,-37.6368,43.48,76,18,5.7
58,Tiksi,RU,2021-08-01 21:01:45,71.6872,128.8694,45.91,74,25,5.48
59,Talnakh,RU,2021-08-01 21:01:46,69.4865,88.3972,55.11,90,100,4.94
60,Forrest City,US,2021-08-01 21:01:46,35.0081,-90.7898,83.98,60,95,9.24
61,Liverpool,GB,2021-08-01 20:58:02,53.4106,-2.9779,62.29,73,31,1.01
62,Kitimat,CA,2021-08-01 21:01:46,54.0524,-128.6534,84.45,49,17,3.47
63,Vaini,TO,2021-08-01 21:01:47,-21.2,-175.2,72.32,68,28,26.87
64,Dikson,RU,2021-08-01 21:01:47,73.5069,80.5464,39.58,99,98,7.49
65,Kiunga,PG,2021-08-01 21:01:47,-6.1219,141.2906,71.4,97,89,2.62
66,Freeport,US,2021-08-01 20:59:32,40.6576,-73.5832,77.22,66,64,5.99
67,Jamame,SO,2021-08-01 21:01:48,0.0722,42.7506,74.25,85,53,13.53
68,Yellowknife,CA,2021-08-01 21:00:01,62.456,-114.3525,88.32,28,1,5.01
69,Berlevag,NO,2021-08-01 20:57:12,70.8578,29.0864,55.2,93,75,5.75
70,Roma,US,2021-08-01 21:01:49,43.2128,-75.4557,66.06,93,20,0.0
71,Tuktoyaktuk,CA,2021-08-01 20:58:30,69.4541,-133.0374,71.6,64,75,13.8
72,Narsaq,GL,2021-08-01 20:57:00,60.9167,-46.05,54.0,63,100,4.0
73,Lawrence,US,2021-08-01 20:59:58,38.9717,-95.2353,86.58,44,0,1.99
74,Kodiak,US,2021-08-01 21:01:50,57.79,-152.4072,57.31,89,94,4.0
75,Businga,CD,2021-08-01 21:01:50,3.3333,20.8833,69.22,94,100,0.47
76,Sena Madureira,BR,2021-08-01 21:01:51,-9.0656,-68.6569,90.73,23,1,3.47
77,Hermanus,ZA,2021-08-01 20:58:34,-34.4187,19.2345,57.9,78,94,4.34
78,Adrar,MR,2021-08-01 20:57:58,20.5022,-10.0711,96.28,24,33,8.68
79,New Norfolk,AU,2021-08-01 20:58:54,-42.7826,147.0587,37.76,83,20,2.39
80,Bredasdorp,ZA,2021-08-01 21:01:51,-34.5322,20.0403,55.27,80,79,5.91
81,Houma,US,2021-08-01 21:01:52,29.5958,-90.7195,93.99,62,89,4.56
82,Rauma,FI,2021-08-01 21:01:52,61.1272,21.5113,59.04,84,50,5.53
83,Egvekinot,RU,2021-08-01 21:01:53,66.3167,-179.1667,42.37,64,50,2.1
84,Los Llanos De Aridane,ES,2021-08-01 21:00:08,28.6585,-17.9182,69.55,65,20,17.27
85,Leningradskiy,RU,2021-08-01 21:00:29,69.3833,178.4167,35.55,95,100,18.39
86,Ostrovnoy,RU,2021-08-01 21:01:53,68.0531,39.5131,48.94,89,15,8.57
87,Campbeltown,GB,2021-08-01 21:01:54,55.4258,-5.6076,57.25,78,4,9.69
88,Balakhninskiy,RU,2021-08-01 21:01:54,58.0106,114.2769,54.45,91,100,3.74
89,Acapulco,MX,2021-08-01 20:59:03,16.8634,-99.8901,87.78,66,96,8.37
90,Itigi,TZ,2021-08-01 21:01:54,-5.7,34.4833,62.24,60,12,10.02
91,Cherskiy,RU,2021-08-01 20:58:34,68.75,161.3,35.65,90,97,18.84
92,Constitucion,CL,2021-08-01 21:01:55,-35.3333,-72.4167,59.29,59,0,11.92
93,Butaritari,KI,2021-08-01 20:58:35,3.0707,172.7902,83.05,69,13,9.78
94,Port Macquarie,AU,2021-08-01 21:01:47,-31.4333,152.9167,55.89,76,88,8.59
95,Bethel,US,2021-08-01 20:59:23,41.3712,-73.414,75.85,75,60,9.86
96,Kutum,SD,2021-08-01 21:00:36,14.2,24.6667,76.05,61,68,9.75
97,Terra Rica,BR,2021-08-01 21:00:58,-22.7094,-52.6169,60.15,55,90,4.97
98,Koslan,RU,2021-08-01 21:01:56,63.4564,48.8989,54.34,95,14,4.41
99,San Ramon,US,2021-08-01 21:00:21,37.7799,-121.978,91.24,43,0,4.0
100,Avera,US,2021-08-01 20:59:20,33.194,-82.5271,96.71,38,65,14.58
101,Ardrossan,GB,2021-08-01 21:01:57,55.6502,-4.8066,61.41,77,71,7.0
102,Ribeira Grande,PT,2021-08-01 21:01:57,38.5167,-28.7,73.35,93,56,14.72
103,Ponta Do Sol,PT,2021-08-01 21:01:58,32.6667,-17.1,72.72,74,1,5.55
104,Souillac,MU,2021-08-01 21:01:58,-20.5167,57.5167,68.36,77,43,14.54
105,Teguldet,RU,2021-08-01 21:01:59,57.3064,88.1667,52.81,97,5,1.86
106,Imeni Poliny Osipenko,RU,2021-08-01 21:01:59,52.4201,136.4853,52.83,90,91,0.83
107,Chateauroux,FR,2021-08-01 21:01:59,46.8167,1.7,59.95,88,88,5.75
108,Chuy,UY,2021-08-01 21:02:00,-33.6971,-53.4616,50.58,91,25,5.91
109,Castro,BR,2021-08-01 21:01:13,-24.7911,-50.0119,50.13,82,69,2.8
110,Scarborough,GB,2021-08-01 21:00:18,54.2797,-0.4044,56.53,83,8,8.95
111,Acarau,BR,2021-08-01 21:00:09,-2.8856,-40.12,79.52,73,92,13.69
112,Myanaung,MM,2021-08-01 21:02:00,18.2833,95.3167,77.18,90,100,7.94
113,Chokurdakh,RU,2021-08-01 21:02:01,70.6333,147.9167,39.0,71,18,7.65
114,Provideniya,RU,2021-08-01 21:02:01,64.3833,-173.3,42.91,75,90,20.13
115,Clyde River,CA,2021-08-01 21:00:21,70.4692,-68.5914,39.6,88,100,7.92
116,Libertador General San Martin,AR,2021-08-01 21:02:02,-23.8064,-64.7876,72.97,25,0,3.74
117,Ugoofaaru,MV,2021-08-01 21:02:02,5.6667,73.0,82.78,75,97,13.38
118,Arraial Do Cabo,BR,2021-08-01 21:02:03,-22.9661,-42.0278,66.06,67,14,13.71
119,Navahrudak,BY,2021-08-01 21:02:03,53.6,25.8333,61.14,94,94,5.66
120,Cidreira,BR,2021-08-01 20:57:21,-30.1811,-50.2056,57.04,90,84,6.44
121,Saint George,US,2021-08-01 20:57:41,37.1041,-113.5841,97.39,30,1,5.99
122,Adamas,GR,2021-08-01 21:02:04,36.7333,24.4333,85.42,78,0,10.42
123,Sur,OM,2021-08-01 21:02:04,22.5667,59.5289,89.65,56,100,14.81
124,Nyurba,RU,2021-08-01 21:01:46,63.2842,118.3319,60.03,62,100,5.23
125,Vanimo,PG,2021-08-01 21:02:05,-2.6741,141.3028,76.51,90,31,5.01
126,Sitka,US,2021-08-01 20:59:08,57.0531,-135.33,62.83,82,99,4.29
127,Hohhot,CN,2021-08-01 21:02:05,40.8106,111.6522,60.49,60,12,5.7
128,Muros,ES,2021-08-01 20:58:23,42.7762,-9.0603,65.08,93,100,6.04
129,Bonavista,CA,2021-08-01 21:02:06,48.6499,-53.1147,64.69,68,100,19.01
130,Caucaia,BR,2021-08-01 21:02:06,-3.7361,-38.6531,80.55,73,0,10.36
131,Sumbe,AO,2021-08-01 21:02:06,-11.2061,13.8437,70.99,91,5,5.55
132,Guerrero Negro,MX,2021-08-01 21:02:07,27.9769,-114.0611,85.08,52,3,13.35
133,Garden City,US,2021-08-01 21:02:07,42.3256,-83.331,75.31,70,90,19.57
134,Sarakhs,IR,2021-08-01 21:02:07,36.5449,61.1577,79.52,15,0,10.25
135,Vao,NC,2021-08-01 21:02:08,-22.6667,167.4833,65.98,61,75,10.92
136,Tuatapere,NZ,2021-08-01 21:02:08,-46.1333,167.6833,40.82,91,100,4.21
137,Wesselsbron,ZA,2021-08-01 21:02:09,-27.8549,26.3658,49.24,28,50,7.11
138,Velingara,SN,2021-08-01 21:02:09,13.15,-14.1167,76.3,91,53,8.01
139,Ancud,CL,2021-08-01 21:02:09,-41.8697,-73.8203,48.27,73,50,4.36
140,Sandwick,GB,2021-08-01 21:02:10,60.0,-1.25,49.82,87,90,8.05
141,Esperance,AU,2021-08-01 21:02:10,-33.8667,121.9,51.64,59,57,23.55
142,Pisco,PE,2021-08-01 20:58:32,-13.7,-76.2167,66.25,72,0,10.36
143,Nhulunbuy,AU,2021-08-01 21:02:11,-12.2333,136.7667,70.41,88,26,0.0
144,Palmer,US,2021-08-01 21:02:11,42.1584,-72.3287,77.61,61,93,7.0
145,Lavrentiya,RU,2021-08-01 21:02:11,65.5833,-171.0,40.24,86,100,10.94
146,San Patricio,US,2021-08-01 21:02:12,28.017,-97.5169,99.32,44,99,16.13
147,Port Alfred,ZA,2021-08-01 21:02:12,-33.5906,26.891,61.02,83,26,25.99
148,Bafra,TR,2021-08-01 21:02:12,41.5678,35.9069,72.77,74,0,5.01
149,Ashqelon,IL,2021-08-01 21:02:13,31.6693,34.5715,86.41,62,0,3.24
150,Marzuq,YE,2021-08-01 20:58:31,14.4,46.4667,81.52,50,96,8.43
151,Carnarvon,AU,2021-08-01 21:02:13,-24.8667,113.6333,56.79,63,0,16.91
152,Obregon,NI,2021-08-01 21:02:14,11.9566,-85.9636,92.12,46,91,15.66
153,Nanortalik,GL,2021-08-01 20:58:21,60.1432,-45.2371,49.64,77,100,11.25
154,Iskateley,RU,2021-08-01 21:02:14,67.6803,53.1512,50.18,89,94,8.39
155,La Concepcion,PA,2021-08-01 21:02:15,8.5167,-82.6167,85.44,82,100,5.17
156,Kavieng,PG,2021-08-01 20:59:38,-2.5744,150.7967,81.64,76,3,9.04
157,Kasama,ZM,2021-08-01 21:02:15,-10.2129,31.1808,53.22,83,2,4.65
158,Viedma,AR,2021-08-01 21:00:28,-40.8135,-62.9967,56.35,39,1,16.02
159,Aswan,EG,2021-08-01 20:57:38,24.0934,32.907,97.9,13,0,3.44
160,Mahebourg,MU,2021-08-01 21:02:16,-20.4081,57.7,68.25,72,49,16.46
161,Padang,ID,2021-08-01 21:02:16,-0.9492,100.3543,74.79,92,98,5.79
162,Ahuimanu,US,2021-08-01 21:02:17,21.4447,-157.8378,83.75,59,18,22.66
163,Carballo,ES,2021-08-01 21:02:17,43.213,-8.691,65.55,94,100,4.27
164,Severo-Kurilsk,RU,2021-08-01 21:02:18,50.6789,156.125,54.54,77,0,15.1
165,Pemangkat,ID,2021-08-01 21:02:18,1.1667,108.9667,79.03,85,98,8.08
166,Batsfjord,NO,2021-08-01 21:02:18,70.6345,29.7185,55.18,94,75,6.91
167,Port Lincoln,AU,2021-08-01 20:58:25,-34.7333,135.8667,52.88,49,23,24.76
168,Port Elizabeth,ZA,2021-08-01 21:02:19,-33.918,25.5701,61.09,72,75,28.77
169,Akdepe,TM,2021-08-01 21:02:19,42.0551,59.3788,77.0,29,0,10.31
170,Tyubuk,RU,2021-08-01 21:02:19,56.0552,60.9405,59.83,80,15,5.99
171,Qaanaaq,GL,2021-08-01 20:59:15,77.484,-69.3632,43.07,80,87,1.32
172,Khani,GE,2021-08-01 21:02:20,41.9563,42.9566,62.17,95,92,1.88
173,Shubarshi,KZ,2021-08-01 21:02:20,48.5872,57.1869,80.15,31,0,7.78
174,Yarega,RU,2021-08-01 21:02:21,63.4354,53.5765,54.39,97,28,5.28
175,Saskylakh,RU,2021-08-01 21:02:21,71.9167,114.0833,69.12,49,0,4.27
176,Pitimbu,BR,2021-08-01 21:02:22,-7.4706,-34.8086,76.05,76,3,19.01
177,Faya,SA,2021-08-01 21:02:22,18.3851,42.4509,66.88,68,98,3.58
178,Nouadhibou,MR,2021-08-01 21:02:22,20.931,-17.0347,69.62,89,0,18.54
179,Ialibu,PG,2021-08-01 21:02:23,-6.2821,143.9935,54.57,98,84,1.83
180,Warri,NG,2021-08-01 21:02:23,5.5167,5.75,77.36,81,91,5.55
181,Mount Hagen,PG,2021-08-01 21:02:24,-5.8581,144.2274,55.89,98,16,1.14
